Region,Soil_Type,Crop,Rainfall_mm,Temperature_Celsius,Fertilizer_Used,Irrigation_Used,Weather_Condition,Days_to_Harvest,Yield_tons_per_hectare
North,Loam,Barley,326.2223718366346,18.802728750380773,True,False,Sunny,103,3.2930581833806345
East,Chalky,Barley,353.68049131797693,21.345293360367865,True,False,Sunny,131,4.111837902234599
West,Loam,Barley,540.1216082320079,19.985114980127705,True,False,Sunny,97,3.8428542067009177
North,Peaty,Barley,100.94958720447566,20.40628628280311,True,True,Rainy,91,3.010781569149798
North,Peaty,Barley,244.9144728191901,20.65449893530541,False,True,Rainy,143,2.77547141640442
North,Sandy,Barley,373.7383224325999,27.80752341033235,True,True,Sunny,112,4.512131161264387
South,Chalky,Barley,180.99022685545503,25.12029876349721,True,False,Rainy,122,2.5905225402655687
North,Clay,Barley,640.2787326631675,24.651082107915705,True,False,Sunny,73,5.296999751955038
East,Loam,Barley,983.9833405735473,26.083552492838223,False,False,Rainy,118,5.101083175004358
North,Chalky,Barley,699.7673619670971,30.76116532544508,True,True,Sunny,125,7.040282318190046
East,Peaty,Barley,215.09719164719195,26.444959203868105,True,False,Rainy,102,3.1758079139852478
West,Chalky,Barley,260.7222007391013,37.34796885334378,True,True,Sunny,105,4.581382630894493
West,Loam,Barley,494.4825144474014,16.941114414449448,True,False,Cloudy,100,3.864698207207651
West,Silt,Barley,652.631288903301,20.68547411554608,False,True,Rainy,79,3.5132720393491645
East,Chalky,Barley,766.0101330265354,37.07287270035292,False,False,Cloudy,142,4.335965096424974
South,Clay,Barley,743.573479970748,26.23828899737861,True,False,Cloudy,124,5.780653431574673
South,Peaty,Barley,340.8638997847509,28.912010159823964,False,False,Sunny,142,1.9346785124343344
North,Loam,Barley,792.3493252067022,18.486571085852447,False,True,Cloudy,132,5.628847772483862
East,Clay,Barley,199.15381656459783,38.7794169593554,False,True,Sunny,118,3.31220898071401
East,Loam,Barley,128.94860262846672,22.607659970801897,False,True,Sunny,93,2.651110980431592
South,Clay,Barley,728.1757792589511,17.818553831833,False,False,Sunny,143,4.075483722802496
West,Peaty,Barley,306.74398009884646,20.514881913605198,True,False,Cloudy,95,2.6911801849238413
South,Chalky,Barley,471.5140611635276,22.85353064678364,False,False,Cloudy,69,3.832620529079456
East,Chalky,Barley,124.22758874200198,21.96389827572648,True,False,Sunny,106,2.644321022373201
East,Silt,Barley,715.3281185495795,20.490736074023975,False,True,Cloudy,99,5.303269313489727
North,Silt,Barley,642.5396169811054,26.45938131936868,False,True,Sunny,94,5.312150850125888
East,Chalky,Barley,529.998678210522,23.857359210530767,True,False,Sunny,146,4.040535440192524
North,Silt,Barley,631.8531130076116,36.53340061389584,False,False,Sunny,101,3.465029034225769
West,Loam,Barley,855.4607122436003,17.764435265707622,True,True,Rainy,62,6.981824249600343
South,Sandy,Barley,349.8393419237949,21.839085331900154,True,False,Cloudy,72,3.448813672361462
North,Sandy,Barley,393.5257058496061,31.50876118805217,False,False,Cloudy,126,2.268711026303013
North,Peaty,Barley,579.3953920981226,34.92711748676422,False,True,Cloudy,148,4.74300086211212
South,Sandy,Barley,271.0059220303168,27.13545621205617,True,True,Sunny,77,4.00958130565768
North,Clay,Barley,521.5030014733361,37.07638618961481,False,False,Cloudy,75,3.540815540458976
East,Silt,Barley,432.33476663444753,21.84772348069445,True,True,Cloudy,130,5.18139111119807
North,Clay,Barley,183.6162393413012,27.626144522373004,True,False,Rainy,119,3.558500873142916
East,Loam,Barley,905.6203001992274,39.70536171047832,False,True,Cloudy,64,7.253565839836467
West,Sandy,Barley,422.6468934199826,28.97109014942577,False,False,Rainy,100,1.975704397861076
South,Chalky,Barley,697.360502861774,37.13460187952064,False,True,Rainy,92,5.576004327045104
South,Sandy,Barley,130.60986615923412,17.3058942328386,False,True,Rainy,123,1.767694267079469
North,Silt,Barley,655.3119005806293,22.359205382890163,False,True,Cloudy,115,4.479667701000811
West,Silt,Barley,419.8416327697328,17.742190167405113,False,True,Rainy,99,4.369464700767864
South,Loam,Barley,720.9394854334547,32.71578916405154,False,True,Cloudy,74,5.455009891855868
South,Loam,Barley,948.5332423332076,22.98462574071925,True,False,Cloudy,76,6.142129833749752
East,Sandy,Barley,280.65842904707904,24.549912647822502,True,True,Sunny,62,4.115244941746458
West,Peaty,Barley,629.8280447866113,25.344059660262428,False,False,Cloudy,89,3.5203089177561755
North,Peaty,Barley,638.4819922823535,17.17471388156021,False,False,Sunny,147,4.514297064220141
South,Loam,Barley,877.793611047327,38.06396349639934,False,True,Cloudy,138,5.77363295207547
South,Silt,Barley,502.44616087995576,31.665890293498663,True,False,Rainy,134,4.505246723578472
West,Sandy,Barley,487.2762260275923,21.408982625040576,True,True,Cloudy,103,6.025732801957776
South,Silt,Barley,759.984623389737,16.54877702570017,True,False,Rainy,107,5.548061743645302
West,Chalky,Barley,383.5025630007672,19.982579571732053,False,False,Cloudy,71,2.2128091472753635
East,Peaty,Barley,409.6932072477503,37.478770488014405,False,True,Cloudy,132,2.8803808577056733
East,Sandy,Barley,462.1208209502352,19.265126765087405,True,False,Rainy,101,4.400382649681563
East,Loam,Barley,458.61403891984736,24.43270593124004,False,True,Sunny,71,4.135366594244397
South,Peaty,Barley,352.7771156655849,18.85327636040753,False,True,Sunny,129,3.2908188664680944
North,Clay,Barley,181.46241415190616,33.695106705962615,False,True,Rainy,60,2.3622445047146106
